"id","광역","시군구","인접지역","메모"
"134","전북","전주시","김제시/익산시/완주군",""
"135","전북","군산시","익산시/김제시/부안군",""
"136","전북","김제시","군산시/익산시/완주군/전주시/정읍시/부안군",""
"137","전북","남원시","순창군/임실군/장수군",""
"138","전북","익산시","군산시/김제시/전주시/완주군",""
"139","전북","정읍시","고창군/부안군/김제시/전주시/완주군/임실군/순창군",""
"140","전북","고창군","부안군/정읍시",""
"141","전북","무주군","진안군/장수군",""
"142","전북","부안군","군산시/김제시/정읍시/고창군",""
"143","전북","순창군","정읍시/임실군/남원시",""
"144","전북","완주군","익산시/전주시/진안군/임실군/정읍시/김제시",""
"145","전북","임실군","순창군/정읍시/완주군/진안군/장수군/남원시",""
"146","전북","장수군","남원시/임실군/진안군/무주군",""
"147","전북","진안군","완주군/임실군/장수군/무주군",""
